id;Format;P;Q;Antican
441;[2, 2, 2], 1, 1;[[-3, -1, 1, 1, 0, 0, 0], [-3, -1, 0, 0, 1, 1, 0], [2, -1, 0, -1, 0, -2, 1]];[[0, 0, -1, 1, 0, 0, 1], [0, 1, 1, 0, 1, 0, 1], [1, -1, 1, 1, 1, 1, 0], [0, 0, -1, 1, 1, -1, -1]];[1, 3, 2, -1]
442;[2, 2, 2], 1, 1;[[-3, -1, 1, 1, 0, 0, 0], [-3, -1, 0, 0, 1, 1, 0], [2, -1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [0, 1, 1, 0, 1, 0, 1], [1, -1, 1, 1, 0, 2, 0]];[0, 1, 3, 2]
443;[2, 2, 1], 0, 1;[[-3, -1, 1, 1, 0], [-3, -1, 0, 0, 2], [2, 0, 0, -1, 1]];[[0, 2, 1, 1, 1], [1, -1, -1, 3, 1]];[3, 1]
444;[2, 2, 1], 0, 1;[[-3, -1, 1, 1, 0], [-3, -1, 0, 0, 3], [2, 0, 0, -1, 1]];[[1, 0, 0, 3, 1], [0, -3, -2, -1, -1]];[2, -4]
445;[2, 2, 1], 0, 1;[[-3, -1, 1, 1, 0], [-3, -1, 0, 0, 3], [2, 0, 0, -1, 2]];[[1, -3, -2, 2, 0], [0, 3, 1, 2, 1]];[-2, 4]
446;[2, 2, 1], 0, 1;[[-3, -1, 1, 1, 0], [-3, -1, 0, 0, 4], [2, 0, 0, -1, 1]];[[1, -3, -2, 2, 0], [1, 1, 1, 3, 1]];[-2, 3]
447;[2, 2, 1], 0, 1;[[-3, -1, 1, 1, 0], [-3, -1, 0, 0, 5], [2, 0, 0, -1, 1]];[[1, -3, -2, 2, 0], [1, 2, 2, 3, 1]];[-2, 4]
448;[2, 2, 1], 0, 1;[[-3, -1, 1, 1, 0], [-3, -1, 0, 0, 5], [2, 0, 0, -1, 2]];[[1, -3, -2, 2, 0], [1, 2, 1, 4, 1]];[-2, 4]
449;[2, 2, 1], 0, 1;[[-3, -1, 1, 1, 0], [-3, -1, 0, 0, 7], [2, 0, 0, -1, 2]];[[1, -3, -2, 2, 0], [2, 1, 1, 6, 1]];[-2, 4]
450;[2, 2, 2], 0, 1;[[-3, -1, 2, 1, 0, 0], [-3, -1, 0, 0, 1, 1], [2, 0, 1, 0, 0, -1]];[[0, 1, 0, 1, 1, 0], [0, 1, 1, -1, 0, 1], [1, -1, 0, 2, 0, 2]];[2, 1, 2]
451;[2, 2, 2], 0, 1;[[-3, -1, 3, 1, 0, 0], [-3, -1, 0, 0, 1, 1], [2, 0, 2, 0, 0, -1]];[[0, 1, 0, 1, 1, 0], [1, -1, 0, 2, 0, 2], [0, 2, 1, -1, 0, 2]];[2, 2, 2]
452;[2, 2, 2], 0, 1;[[-3, -1, 5, 4, 0, 0], [-3, -1, 0, 0, 1, 1], [2, 0, 2, 1, 0, -1]];[[0, 1, 1, -1, 0, 1], [1, 0, -1, 2, 1, 2], [1, -3, 0, 0, -2, 2]];[1, 2, -2]
453;[2, 2, 2], 0, 1;[[-3, -1, 5, 5, 0, 0], [-3, -1, 0, 0, 1, 1], [2, 0, 2, 1, 0, -1]];[[0, 0, 1, -1, -1, 1], [1, -3, -1, 1, -1, 1], [-1, -2, 0, -1, -2, -3]];[0, -2, -4]
454;[2, 2, 2], 0, 1;[[-3, -1, 7, 5, 0, 0], [-3, -1, 0, 0, 1, 1], [2, 0, 2, 1, 0, -1]];[[0, 2, 1, -1, 1, 1], [1, 0, -1, 2, 1, 2], [1, -1, 1, -1, -1, 3]];[2, 2, 0]
455;[2, 2, 1], 0, 1;[[-3, -2, 1, 1, 0], [-3, -2, 0, 0, 3], [2, 1, 0, -1, 1]];[[2, -3, -1, 1, 0], [1, 0, 0, 3, 1]];[-1, 2]
456;[2, 2, 1], 0, 1;[[-3, -2, 1, 1, 0], [-3, -2, 0, 0, 4], [2, 1, 0, -1, 1]];[[2, -3, -1, 1, 0], [0, 2, 1, 3, 1]];[-1, 3]
457;[2, 2, 1], 0, 1;[[-3, -2, 1, 1, 0], [-3, -2, 0, 0, 5], [2, 1, 0, -1, 1]];[[2, -3, -1, 1, 0], [1, 1, 1, 4, 1]];[-1, 3]
458;[2, 2, 1], 0, 1;[[-3, -2, 1, 1, 0], [-3, -2, 0, 0, 5], [2, 1, 0, -1, 2]];[[2, -3, -1, 1, 0], [1, 1, 0, 5, 1]];[-1, 3]
459;[2, 2, 1], 0, 1;[[-3, -2, 1, 1, 0], [-3, -2, 0, 0, 6], [2, 1, 0, -1, 1]];[[2, -3, -1, 1, 0], [0, 3, 2, 4, 1]];[-1, 4]
460;[2, 2, 1], 0, 1;[[-3, -2, 1, 1, 0], [-3, -2, 0, 0, 7], [2, 1, 0, -1, 2]];[[2, -3, -1, 1, 0], [1, 2, 1, 6, 1]];[-1, 4]
461;[2, 2, 1], 0, 1;[[-3, -2, 1, 1, 0], [-3, -2, 0, 0, 9], [2, 1, 0, -1, 2]];[[2, -3, -1, 1, 0], [1, 3, 2, 7, 1]];[-1, 5]
462;[2, 2, 2], 0, 1;[[-3, -2, 2, 1, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 1, 0, 0, -1]];[[1, -1, 0, 1, 0, 1], [0, 0, 1, -2, -1, 1], [0, 1, 1, 0, 0, 2]];[1, -1, 2]
463;[2, 2, 2], 0, 1;[[-3, -2, 3, 1, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 1, 0, 0, -1]];[[1, -1, 0, 1, 0, 1], [0, 1, 0, 2, 1, 1], [0, 1, 1, -1, 0, 2]];[1, 3, 1]
464;[2, 2, 2], 0, 1;[[-3, -2, 3, 1, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 0, 0, -1]];[[1, -1, 0, 1, 0, 1], [1, -2, 0, -1, -1, 0], [0, 1, 1, -1, -1, 3]];[1, -2, 1]
465;[2, 2, 2], 0, 1;[[-3, -2, 3, 3, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[0, 0, 1, -1, -1, 1], [2, -3, 0, 0, -1, 1], [1, 0, 0, 1, 0, 3]];[0, -1, 2]
466;[2, 2, 2], 0, 1;[[-3, -2, 3, 4, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[1, -1, -1, 1, 1, 0], [1, -2, 1, -1, -2, 1], [0, 2, 0, 1, 1, 3]];[0, -1, 3]
467;[2, 2, 2], 0, 1;[[-3, -2, 3, 5, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[0, 1, -1, 1, 2, 0], [2, -2, -1, 1, 1, 1], [1, 0, 1, 0, -1, 4]];[1, 0, 2]
468;[2, 2, 2], 0, 1;[[-3, -2, 3, 6, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[1, 0, -1, 1, 2, 1], [-2, 3, 0, 0, 1, -1], [1, 0, 1, 0, -1, 4]];[1, 1, 2]
469;[2, 2, 2], 0, 1;[[-3, -2, 5, 1, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 0, 0, -1]];[[1, -1, 0, 1, 0, 1], [1, -2, 0, -1, -1, 0], [0, 1, 1, -3, -1, 3]];[1, -2, -1]
470;[2, 2, 2], 0, 1;[[-3, -2, 5, 3, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[-1, 2, -1, 2, 1, 0], [1, -1, -1, 2, 0, 1], [0, -1, -1, 1, 0, -2]];[2, 1, -1]
471;[2, 2, 2], 0, 1;[[-3, -2, 5, 4, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[-1, 2, 1, -1, 0, 1], [1, -1, 1, -1, -1, 2], [1, 0, -1, 2, 1, 2]];[1, 0, 2]
472;[2, 2, 2], 0, 1;[[-3, -2, 5, 5, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[0, 0, 1, -1, -1, 1], [2, -3, 0, 0, -1, 1], [1, 1, 0, 1, 1, 4]];[0, -1, 3]
473;[2, 2, 2], 0, 1;[[-3, -2, 5, 6, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[1, -1, -1, 1, 1, 0], [1, -2, 1, -1, -2, 1], [1, 1, 1, 0, 0, 5]];[0, -1, 3]
474;[2, 2, 2], 0, 1;[[-3, -2, 7, 5, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[0, -1, -1, 1, 0, -2], [1, 0, -1, 2, 1, 2], [2, -3, 0, 0, -1, 1]];[-1, 2, -1]
475;[2, 2, 2], 0, 1;[[-3, -2, 7, 6, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[-1, 2, 1, -1, 0, 1], [1, -1, 1, -1, -1, 2], [1, 1, -1, 2, 2, 3]];[1, 0, 3]
476;[2, 2, 2], 0, 1;[[-3, -2, 9, 6, 0, 0], [-3, -2, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[2, -3, 0, 0, -1, 1], [-1, 0, -1, 1, 0, -3], [1, 0, -1, 2, 1, 2]];[-1, -1, 2]
477;[2, 2, 1], 0, 1;[[-3, -3, 1, 1, 0], [-3, -3, 0, 0, 2], [2, 1, 0, -2, 1]];[[-2, 2, 1, -1, 0], [1, 1, 3, 3, 3]];[0, 5]
478;[2, 2, 1], 0, 1;[[-3, -3, 1, 1, 0], [-3, -3, 0, 0, 3], [2, 1, 0, -2, 2]];[[2, -2, -1, 1, 0], [1, 0, 1, 2, 1], [2, 2, 0, 0, 0]];[0, 2, 1]
479;[2, 2, 1], 0, 1;[[-3, -3, 1, 1, 0], [-3, -3, 0, 0, 2], [2, 1, 0, -1, 1]];[[-1, 1, 1, -1, 0], [-1, 3, 2, 4, 3]];[0, 5]
480;[2, 2, 1], 0, 1;[[-3, -3, 1, 1, 0], [-3, -3, 0, 0, 3], [2, 1, 0, -1, 1]];[[1, -1, -1, 1, 0], [0, 1, 1, 2, 1], [2, 2, 0, 0, 0]];[0, 2, 1]
481;[2, 2, 1], 0, 1;[[-3, -3, 1, 1, 0], [-3, -3, 0, 0, 4], [2, 1, 0, -1, 1]];[[1, -1, -1, 1, 0], [1, 3, 4, 8, 3]];[0, 7]
482;[2, 2, 1], 0, 1;[[-3, -3, 1, 1, 0], [-3, -3, 0, 0, 5], [2, 1, 0, -1, 2]];[[1, -1, -1, 1, 0], [0, 5, 4, 11, 3]];[0, 8]
483;[2, 2, 1], 0, 1;[[-3, -3, 1, 1, 0], [-3, -3, 0, 0, 7], [2, 1, 0, -1, 2]];[[1, -1, -1, 1, 0], [1, 6, 7, 14, 3]];[0, 10]
484;[2, 2, 2], 1, 1;[[-3, -3, 1, 1, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0], [2, 1, 0, -1, 0, -2, 1]];[[-1, 1, 1, -1, 0, 0, 0], [-1, 1, 0, 0, 0, 0, 1], [0, 0, 1, -1, -1, 1, 1], [1, 0, 2, 1, 2, 1, 1]];[0, 1, 1, 5]
485;[2, 2, 2], 1, 1;[[-3, -3, 1, 1, 0, 0, 0], [-3, -3, 0, 0, 1, 1, 0], [2, 1, 0, -1, 0, -1, 1]];[[-1, 1, 1, -1, 0, 0, 0], [0, 0, 1, -1, -1, 1, 0], [-1, 1, 0, 0, 0, 0, 1], [0, 1, 2, 1, 2, 1, 1]];[0, 0, 1, 5]
486;[2, 2, 1], 0, 1;[[-3, -3, 1, 2, 0], [-3, -3, 0, 0, 2], [2, 1, 0, -3, 1]];[[1, 1, 2, 2, 3], [-3, 3, 2, -1, 0]];[3, 1]
487;[2, 2, 2], 0, 1;[[-3, -3, 2, 1, 0, 0], [-3, -3, 0, 0, 1, 1], [2, 1, 1, 0, 0, -1]];[[1, -1, 0, 0, -1, 1], [0, 0, 1, -2, -1, 1], [0, 1, 1, 1, 1, 2]];[0, -1, 3]
488;[2, 2, 2], 0, 1;[[-3, -3, 2, 2, 0, 0], [-3, -3, 0, 0, 1, 1], [2, 1, 1, -1, 0, -1]];[[-1, 1, 0, 0, 1, -1], [1, -1, -1, 1, 1, -1], [1, 1, 1, 2, 4, 2]];[0, 0, 5]
489;[2, 2, 2], 0, 1;[[-3, -3, 3, 1, 0, 0], [-3, -3, 0, 0, 1, 1], [2, 1, 2, 0, 0, -1]];[[1, -1, 0, 0, -1, 1], [0, -1, 0, -3, -2, -1], [0, 1, 1, 0, 0, 3]];[0, -4, 2]
490;[2, 2, 2], 0, 1;[[-3, -3, 3, 3, 0, 0], [-3, -3, 0, 0, 1, 1], [2, 1, 2, 1, 0, -2]];[[1, -1, -1, 1, 0, 0], [1, -1, 1, -1, -1, 1], [1, 0, 1, 0, 1, 2], [1, 1, 0, 0, 0, 0]];[0, 0, 2, 2]
491;[2, 2, 2], 0, 1;[[-3, -3, 3, 3, 0, 0], [-3, -3, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[1, -1, -1, 1, 0, 0], [1, -1, 0, 0, -1, 1], [0, 1, 0, 1, 1, 2], [1, 1, 0, 0, 0, 0]];[0, 0, 2, 2]
492;[2, 2, 2], 0, 1;[[-3, -3, 3, 4, 0, 0], [-3, -3, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[1, -1, 0, 0, -1, 1], [0, 1, 1, 0, 0, 3], [2, -1, -3, 3, 3, 0]];[0, 2, 1]
493;[2, 2, 2], 0, 1;[[-3, -3, 5, 4, 0, 0], [-3, -3, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[1, -1, 0, 0, -1, 1], [1, 0, -1, 2, 1, 2], [-1, 2, 3, -3, 0, 3]];[0, 2, 1]
494;[2, 2, 1], 0, 1;[[-3, -4, 1, 1, 0], [-3, -4, 0, 0, 2], [2, 1, 0, -1, 1]];[[0, 1, 1, 3, 2], [2, -2, -3, 1, -1]];[3, -1]
495;[2, 2, 1], 0, 1;[[-3, -4, 1, 1, 0], [-3, -4, 0, 0, 3], [2, 1, 0, -1, 1]];[[1, 0, 0, 3, 1], [-2, 3, 5, 1, 2]];[2, 3]
496;[2, 2, 1], 0, 1;[[-3, -4, 1, 1, 0], [-3, -4, 0, 0, 3], [2, 1, 0, -1, 2]];[[1, 0, -1, 4, 1], [-2, 3, 3, 3, 2]];[2, 3]
497;[2, 2, 1], 0, 1;[[-3, -4, 1, 1, 0], [-3, -4, 0, 0, 4], [2, 1, 0, -1, 1]];[[0, 1, 2, 2, 1], [4, -3, -5, 5, 0]];[2, 1]
498;[2, 2, 1], 0, 1;[[-3, -4, 1, 1, 0], [-3, -4, 0, 0, 5], [2, 1, 0, -1, 2]];[[1, -2, -3, -2, -1], [3, -1, -2, 7, 1]];[-2, 3]
499;[2, 2, 2], 0, 1;[[-3, -4, 2, 1, 0, 0], [-3, -4, 0, 0, 1, 1], [2, 1, 1, 0, 0, -1]];[[-1, 1, 1, -1, 1, 0], [0, 0, 1, -2, -1, 1], [1, 0, 1, 1, 0, 3]];[0, -1, 3]
500;[2, 2, 2], 0, 1;[[-3, -4, 3, 1, 0, 0], [-3, -4, 0, 0, 1, 1], [2, 1, 2, 0, 0, -1]];[[-1, 1, 1, -2, 0, 1], [-1, 1, 0, 1, 2, -1], [0, -1, -1, -1, -1, -3]];[-1, 1, -3]
501;[2, 2, 2], 0, 1;[[-3, -4, 3, 4, 0, 0], [-3, -4, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[0, 1, 0, 1, 2, 2], [1, -1, 1, -1, -3, 2], [2, -1, -2, 2, 1, 1]];[2, 0, 1]
502;[2, 2, 2], 0, 1;[[-3, -4, 5, 4, 0, 0], [-3, -4, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[1, -1, -1, 1, -1, 0], [0, 1, 0, 1, 2, 2], [2, -1, 2, -2, -3, 5]];[0, 2, 1]
503;[2, 2, 1], 0, 1;[[-3, -5, 1, 1, 0], [-3, -5, 0, 0, 2], [2, 1, 0, -1, 1]];[[-1, 1, 2, 0, 1], [2, 0, -1, 7, 3]];[1, 5]
504;[2, 2, 1], 0, 1;[[-3, -5, 1, 1, 0], [-3, -5, 0, 0, 3], [2, 1, 0, -1, 2]];[[1, 0, -1, 4, 1], [-3, 3, 5, 1, 2]];[2, 2]
505;[2, 2, 2], 0, 1;[[-3, -5, 2, 1, 0, 0], [-3, -5, 0, 0, 1, 1], [2, 1, 1, 0, 0, -1]];[[-1, 1, 1, 0, 2, 0], [0, 0, 1, -2, -1, 1], [1, 0, 1, 1, 0, 3]];[1, -1, 3]
506;[2, 2, 2], 0, 1;[[-3, -5, 3, 1, 0, 0], [-3, -5, 0, 0, 1, 1], [2, 1, 2, 0, 0, -1]];[[-1, 1, 1, -1, 1, 1], [-1, 1, 0, 2, 3, -1], [-1, 0, 0, -3, -1, -2]];[0, 2, -4]
507;[2, 2, 1], 0, 1;[[-3, -5, 1, 1, 0], [-3, -5, 0, 0, 2], [2, 2, 0, -1, 1]];[[-1, 1, 1, 1, 1], [3, -1, -2, 6, 2]];[1, 4]
508;[2, 2, 1], 0, 1;[[-3, -5, 1, 1, 0], [-3, -5, 0, 0, 3], [2, 2, 0, -1, 1]];[[1, 0, 0, 3, 1], [-3, 3, 4, 2, 2]];[2, 2]
509;[2, 2, 1], 0, 1;[[-3, -5, 1, 1, 0], [-3, -5, 0, 0, 4], [2, 2, 0, -1, 1]];[[2, -2, -3, -1, -1], [3, -1, -1, 5, 1]];[-1, 3]
510;[2, 2, 2], 1, 1;[[-3, -5, 1, 1, 0, 0, 0], [-3, -5, 0, 0, 1, 1, 0], [2, 2, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [-1, 1, 2, 0, 1, 1, 1], [2, -1, 0, 1, 0, 1, 0]];[0, 1, 3, 2]
511;[2, 2, 2], 0, 1;[[-3, -5, 2, 1, 0, 0], [-3, -5, 0, 0, 1, 1], [2, 2, 1, 0, 0, -1]];[[-1, 1, 1, 0, 1, 1], [0, 0, -1, 2, 1, -1], [2, -1, 0, 1, -1, 2]];[1, 1, 2]
512;[2, 2, 1], 0, 1;[[-3, -6, 1, 1, 0], [-3, -6, 0, 0, 2], [2, 1, 0, -1, 1]];[[-2, 1, 3, -3, 0], [0, 1, 2, 4, 3]];[-1, 4]
513;[2, 2, 1], 0, 1;[[-3, -6, 1, 1, 0], [-3, -6, 0, 0, 3], [2, 1, 0, -1, 2]];[[-1, 1, 2, 1, 1], [-1, 0, 1, -4, -1], [1, 0, 1, 2, 0]];[1, -2, 1]
514;[2, 2, 1], 0, 1;[[-3, -7, 1, 1, 0], [-3, -7, 0, 0, 3], [2, 1, 0, -1, 2]];[[1, 0, -1, 4, 1], [-4, 3, 8, 1, 3]];[2, 2]
515;[2, 2, 1], 0, 1;[[-3, -7, 1, 1, 0], [-3, -7, 0, 0, 2], [2, 2, 0, -1, 1]];[[-1, 1, 2, 2, 2], [3, -1, -3, 5, 1]];[2, 3]
516;[2, 2, 1], 0, 1;[[-3, -7, 1, 1, 0], [-3, -7, 0, 0, 3], [2, 2, 0, -1, 1]];[[1, 0, 0, 3, 1], [-4, 3, 8, 1, 3]];[2, 2]
517;[2, 2, 2], 0, 1;[[-3, -7, 2, 1, 0, 0], [-3, -7, 0, 0, 1, 1], [2, 2, 1, 0, 0, -1]];[[0, 0, 1, -2, -1, 1], [-2, 1, 1, -1, 2, -1], [1, 0, 1, 1, 0, 3]];[-1, -1, 3]
518;[2, 2, 1], 0, 1;[[-3, -9, 1, 1, 0], [-3, -9, 0, 0, 2], [2, 2, 0, -1, 1]];[[-1, 1, 3, 3, 3], [3, -1, -4, 4, 0]];[3, 2]
519;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 1], [5, 1, 0, -1, 0, -1]];[[0, 1, 0, 1, 1, 0], [0, 1, 1, 0, 0, 1], [1, -1, 0, 2, 0, 2]];[2, 2, 2]
520;[2, 2, 2], 0, 1;[[-3, -2, 1, 1, 0, 0], [-3, -2, 0, 0, 1, 1], [5, 3, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1], [-1, 1, 0, -1, 0, -1], [-1, 2, 1, 0, 0, 1]];[0, -1, 2]
521;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 1], [5, 4, 0, -1, 0, -2]];[[-1, 1, 1, -1, 0, 0], [1, -1, 1, -1, -1, 1], [1, 0, 2, 1, 1, 2]];[0, 0, 4]
522;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 1], [5, 4, 0, -1, 0, -1]];[[-1, 1, 1, -1, 0, 0], [0, 0, 1, -1, -1, 1], [0, 1, 1, 2, 1, 2]];[0, 0, 4]
523;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 2], [5, 4, 0, -1, 0, -3]];[[-1, 1, 1, -1, 0, 0], [0, 1, 2, 1, 1, 1], [-2, 2, -1, 1, 2, -1]];[0, 3, 1]
524;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 3], [5, 4, 0, -1, 0, -5]];[[-1, 1, 1, -1, 0, 0], [1, 0, 3, 0, 0, 1], [-1, 2, 0, 3, 3, 0]];[0, 2, 4]
525;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 3], [5, 4, 0, -1, 0, -4]];[[-1, 1, 1, -1, 0, 0], [1, 0, 2, 1, 0, 1], [-1, 2, 0, 3, 3, 0]];[0, 2, 4]
526;[2, 2, 2], 0, 1;[[-3, -4, 1, 1, 0, 0], [-3, -4, 0, 0, 1, 1], [5, 5, 0, -1, 0, -1]];[[-1, 1, 1, 0, 1, 0], [0, 0, 1, -1, -1, 1], [1, 0, 1, 2, 0, 3]];[1, 0, 4]
527;[2, 2, 2], 0, 1;[[-3, -5, 1, 1, 0, 0], [-3, -5, 0, 0, 1, 1], [5, 6, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1], [-1, 1, 2, 0, 1, 1], [1, 0, 1, 2, 0, 3]];[0, 2, 4]
528;[2, 2, 2], 0, 1;[[-3, -5, 1, 1, 0, 0], [-3, -5, 0, 0, 1, 1], [5, 7, 0, -1, 0, -2]];[[-1, 1, 0, 2, 2, 0], [-1, 1, 2, 0, 1, 1], [2, -1, 0, 1, 0, 1]];[2, 2, 2]
529;[2, 2, 2], 0, 1;[[-3, -5, 1, 1, 0, 0], [-3, -5, 0, 0, 1, 1], [5, 7, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1], [-1, 1, 1, 1, 1, 1], [2, -1, 0, 1, -1, 2]];[0, 2, 2]
530;[2, 2, 2], 0, 1;[[-3, -7, 1, 1, 0, 0], [-3, -7, 0, 0, 1, 1], [5, 9, 0, -1, 0, -1]];[[0, 0, 1, -1, -1, 1], [-2, 1, 2, -1, 1, 0], [1, 0, 1, 2, 0, 3]];[0, 0, 4]
531;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 1], [7, 1, 0, -1, 0, -2]];[[0, 1, 0, 1, 1, 0], [0, 1, 2, -1, 0, 1], [1, -1, 0, 2, 0, 2]];[2, 2, 2]
532;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 1], [7, 1, 0, -1, 0, -1]];[[0, 1, 0, 1, 1, 0], [0, 1, 1, 0, 0, 1], [1, -1, -1, 3, -1, 3]];[2, 2, 2]
533;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 2], [7, 1, 0, -1, 0, -3]];[[0, 1, 0, 1, 1, 0], [1, -2, -1, 2, -1, 1], [-1, 0, -2, -1, 1, -2]];[2, -1, -2]
534;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 3], [7, 1, 0, -1, 0, -5]];[[0, 1, 0, 1, 1, 0], [1, -1, 1, 1, -1, 1], [0, -3, -5, 2, 0, -1]];[2, 0, -4]
535;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 3], [7, 1, 0, -1, 0, -4]];[[0, 1, 0, 1, 1, 0], [1, -1, 0, 2, -1, 1], [0, -2, -4, 2, 1, -1]];[2, 0, -2]
536;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 5], [7, 1, 0, -1, 0, -8]];[[0, 1, 0, 1, 1, 0], [1, 1, 4, 0, -1, 1], [2, -2, 0, 4, -1, 1]];[2, 2, 0]
537;[2, 2, 2], 0, 1;[[-3, -1, 1, 3, 0, 0], [-3, -1, 0, 0, 1, 1], [7, 1, 0, -4, 0, -2]];[[1, -1, -1, 1, 1, 1], [0, -2, -2, 0, -1, -1], [0, -2, 1, -1, -3, 1]];[0, -4, -2]
538;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 2], [7, 2, 0, -1, 0, -3]];[[1, -1, 0, 2, 0, 1], [0, -2, -1, -1, 0, -1], [0, 1, -1, 2, 1, 0]];[1, -3, 2]
539;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 3], [7, 2, 0, -1, 0, -4]];[[1, -3, -1, 1, 0, 0], [0, 1, -1, 2, 1, 0], [1, -1, 1, 1, -1, 1]];[-2, 2, 0]
540;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 1], [8, 0, 0, -1, 0, -1]];[[0, 1, 1, 0, 1, 0], [0, 0, 1, -1, -1, 1], [1, 1, 0, 4, 0, 4]];[2, 0, 6]
541;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 2], [8, 0, 0, -1, 0, -3]];[[0, 1, 1, 0, 1, 0], [1, 0, 1, 2, -1, 2], [0, 0, 3, -3, -2, 1]];[2, 2, -1]
542;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 1], [8, 1, 0, -1, 0, -2]];[[0, 1, 0, 1, 1, 0], [0, 1, 2, -1, 0, 1], [1, -1, 1, 1, -1, 3]];[2, 2, 2]
543;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 1], [8, 1, 0, -1, 0, -1]];[[0, 1, 0, 1, 1, 0], [0, 1, 1, 0, 0, 1], [1, -2, -2, 3, -2, 3]];[2, 2, 0]
544;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 2], [8, 1, 0, -1, 0, -5]];[[0, 1, 0, 1, 1, 0], [1, -1, 0, 2, 0, 1], [-1, -1, -5, 1, 0, -2]];[2, 1, -4]
545;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 2], [8, 1, 0, -1, 0, -3]];[[0, 1, 0, 1, 1, 0], [0, 2, 3, -1, 0, 1], [1, 0, 1, 2, -1, 2]];[2, 3, 2]
546;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 3], [8, 1, 0, -1, 0, -8]];[[0, 1, 0, 1, 1, 0], [1, 0, 3, 0, 0, 1], [2, -4, -2, 4, -1, 1]];[2, 2, -2]
